NOVARTIS: Antimalarial liver stage activity measured as reduction in Plasmodium yoelii schizont area in HepG2-A16-CD81 cells by immuno-fluorescence, and median schizont size at 10uM compound concentration
CC(C)C1=C2COC(CC2=C(C(=N1)N3CCN(CC3)C(=O)NC4=CC=CC=C4)C#N)(C)C,1021
CC1=CC=C(C=C1)C2C3=C(C4=CC=CC=C4C3=O)NC5=CC=CC=C5S2,277.9
CC1=CC=CC(=C1)C2C3=C(CC(CC3=O)C4=CC(=C(C=C4)OC)OC)NC(=C2C(=O)OC(C)C)C,1836
CCC1=CC=CC=C1NC(=O)C,10000
CC1=C(C2=C(O1)C(=O)C3=CC=CC=C3C2=O)C(=O)NC4CCS(=O)(=O)C4,2.29
CC[N+]1=C(SC(=C1)C2=CC=C(C=C2)C)C=C3N(C4=CC=CC=C4S3)C,4.5
C1=CC(=CC(=C1)OC2=CC=C(C=C2)NC(=O)C3=CC=C(O3)Br)OC4=CC=C(C=C4)NC(=O)C5=CC=C(O5)Br,433
CC=C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,49.4
C1CN(CCN1CC2=CC=CC=C2)C(=O)C3=NN4C(=CC(=NC4=C3)C5=CC=CC=C5)C(F)(F)F,10000
CCOC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CO4,104.7
COC1=CC(=CC(=C1OC)OC)C2C(=CNC=C2C(=O)OC)C(=O)OC,10000
CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC(=C(C=C3)OC)OC)C4=CC=C(C=C4)[N+](=O)[O-])C(=O)OC5CCCC5,3920
CN1C(C(N(C1=O)C)NNC(=S)N)NNC(=S)N,15.05
CC(=NNC(=S)N)C(OC)OC,4.93
CCC1=C(C(=NC(=C1C#N)SCC(=O)C2=CC=C(C=C2)C)N)C#N,10000
CC1=CC=C(C=C1)C2=C[N+]3=C(N2C4=CC=C(C=C4)C)CCCCC3,145.8
CCCCCCN(C(CC)C1=NC2=CC=CC=C2C(=O)N1C3=CC(=CC=C3)Cl)C(=O)COC4=CC=CC=C4,10000
CC(=O)N(C1=CC(=CC=C1)Cl)C2=C(C(=O)C3=CC=CC=C3C2=O)N4CCOCC4,744
C1=CC=C(C=C1)NC2=NC(=NC=C2)NC3=CC=CC=C3,1476
CCC1=CC2=C(C=C1C3=CSC(=N3)N=C(N)N)C(CCC2(C)C)(C)C,2898
CCN(CC)CCCN(CC1=CC2=CC(=C(C=C2NC1=O)OC)OC)C(=S)NC3=CC(=CC=C3)Cl,162.5
CCOC(=O)C1=CN=C2C=CC(=CC2=C1NCC3=CC=CS3)OC,192.7
CC1(N=C(N=C(N1C2=CC=C(C=C2)F)N)N)C.Cl,18.92
CC1CCCC(C1C)NC(=O)C2C34C=CC(O3)C(C4C(=O)N2CCCN5CCOCC5)C(=O)NC6=CC(=C(C=C6)C)Cl.Cl,10000
CN1C2=NC(=O)N(C(=O)C2=NC=N1)C,102.8
CCOC(=O)C1=C(SC2=C1CCN(C2)C(C)C)NC(=O)C,3012
CC1=CC(=NC(=N1)NCC2=CC=CC=C2)NC3=CC(=CC=C3)F,1109
CN(C)C1=C(N=C(O1)C2=C(C=C(C=C2)Cl)Cl)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5.[I-],129.2
CCOC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4.Cl,480
CC1=CC(=CC=C1)NC(=S)NC2CC3CCCC(C2)N3CCC4=CC=CC=C4,277.2
CCN1C(=C(SC1=CC2=[N+](C3=C(C=C2)C=C(C=C3)C)C)C)C,11.27
CC(C)NC(=O)C1=C(C=CC(=C1)NC(=O)C2=CC=CS2)N3CCC4=CC=CC=C4C3,74.8
COC1=CC2=C(C=C1)SC(=N2)NC3=NC(=CS3)C4=CC=CC=N4,158.8
CCC(C)(C)C1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2C)C)C(C)(C)CC.[Br-],45.5
CCN1C(=CC2=[N+](C3=CC=CC=C3C=C2)CC)SC4=C1C5=CC=CC=C5S4,6.21
C1=CC=C2C(=C1)NC(=N2)C3=CC=C(C=C3)NC(=O)C4=CC=C(O4)C5=CC=C(C=C5)Cl,6650
C1CCCC2=C(CC1)C(=O)C3=CC=CC=C3N2,727
CC1=CC(=NC(=N1)N=C(N)NC2=CC(=CC=C2)O)C,151.6
C1=CC=C2C(=C1)C=CC=C2C3=NC4=C(O3)C=CC(=C4)NC(=O)C5=CC=C(O5)[N+](=O)[O-],72.5
CCC(C)NC1=NC(=NC(=N1)N2CCCCCC2)NC(C)CC,300.3
CCCCOC1=CC=C(C=C1)C2C3CCCC=C3C(=C(C2(C#N)C#N)N)C#N,10000
CC1=CC(=NC(=N1)NCC2=CC=CC=C2)NC3=CC=C(C=C3)OC,636
C1=CC(=CC(=C1)N)C(=O)NC2=CC=C(C=C2)OC3=CC(=CC=C3)OC4=CC=C(C=C4)NC(=O)C5=CC(=CC=C5)N,1765
CC1CC(C2=CC=CC=C2N1C(=O)C3=CC=C(C=C3)Cl)N(C4=CC=CC=C4)C(=O)C5=C(C=C(C=C5)Cl)Cl,3640
C1CN(CCN1C2=CC=CC=N2)C3=NC(=NC(=C3)C4=CC=CC=N4)C5=CC=CC=N5,17.47
CC1=C(C(=O)C2=C(N1)C=CC(=C2)Br)CC(C)C,244.2
CC(=O)N(C)C1=C(C(=O)C2=CC=CC=C2C1=O)N3CCOCC3,229.1
C1=CC=NC(=C1)C2=CN=C(C=C2)C3=CC=CC=N3,39.4
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)NC2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)NC(=O)C5=CC(=CC=C5)[N+](=O)[O-],940
CC(C1=NC(=NO1)C2=CC=C(C=C2)NC(=O)C3=CC=CS3)OC4=C(C=C(C=C4)Cl)Cl,113.6
CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)F)C(=O)NC3=C(C=CC=C3C)C,10000
C1CC2=NC3=C(N2C1)C(=O)N(C=N3)CC(=O)O,770
C1COCCN1C2=C(N=C(O2)C3=CC=CC=C3Cl)[P+](C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6,95.6
CCOC(=O)C1=C(N=C2N(C1C3=C(C(=CC=C3)OC)OC)C(=O)C(=CC4=C(N(C(=C4)C)C5=CC=C(C=C5)F)C)S2)C6=CC=CC=C6,2446
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)NC(=O)C4=CC=C(O4)Br)NC(=O)C5=CC=C(O5)Br,812
CC[N+]1=C(N(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3)C=CC=C4C(C5=CC=CC=C5N4C)(C)C,13.56
CCCCSC1=C(N=C(O1)C)[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4,82.1
COC1=CC(=CC(=C1OC)OC)C(=O)NC2=CC3=C(C=C2)N=C4CCCCCN4C3=O,10000
C1=CC=C(C=C1)CSC2=C(N=CS2)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5.[I-],68.5
CC1=CC=C(C=C1)NC2=NC3=C(C(=NN=C3N)N)N=C2NC4=CC=C(C=C4)C,488
CC1=CC2=CC3=C(C4=C(C(=CC=C4)C)N=C3N=C2C=C1)N,47.4
CC(=O)NC1=CC=CC(=C1)C2=NC(=CN=C2)C3=CC=C(C=C3)C(=O)O,10000
CC1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CC=C4,277.6
C1=CC=C(C=C1)CN=C2C=CN(C=C2)CC(=O)C3=CC=C(C=C3)I.Br,825
CCCCC1=C(NC2=C(C1=O)C=CC=C2OC)C,561
CC1=CC=C(C=C1)C2=CC3=NC4=C(CCCC4)C(=O)N3N2,75.3
CCOC1=CC2=C(C(=CN=C2C=C1)S(=O)(=O)C3=CC=C(C=C3)OC)N4CCN(CC4)C,10.71
CC1=C(C=C(C=C1)OCC(=O)NC2=CC=CC(=C2)C3=NC4=C(O3)C=CC=N4)C,10000
CCCCNC(=O)C(CC)SC1=NC(=C(N=N1)C2=CC=C(C=C2)C)C3=CC=C(C=C3)C,290.7
CC(=O)N(C)C1=C(C(=O)C2=CC=CC=C2C1=O)N3CCCC3,4950
CCCC1=CC=C(C=C1)C(=O)NC(=O)C2=CC=CC=C2O,4.18
C1CN(CCN1C2=CC=CC=N2)C(=O)CC3=CC=CS3,10000
CC(C1=NC2=CC=CC=C2C(=O)N1C)N3CCN(CC3)C(=O)C(C)(C)C,492
CC1=NC2=C(C=C(C=C2)NC(=O)C3CC3)C(=O)N1CC4=CC=C(C=C4)Cl,10000
CC1(N=C(N=C(N1C2=CC(=C(C=C2)OC3=CC=C(C=C3)Cl)Cl)N)N)C.Cl,73
CC1=C(C(=O)C2=C(N1)C=CC(=C2)Br)CC=C,181
CC1=CC(=CC=C1)N2C(=NC(=NC2(C)C)N)N.Cl,4.25
CC1=CC(=NO1)NC(C2=CC(=CC=C2)Br)C3=C(C4=C(C=CC=N4)C=C3)O,146.7
CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=C(C=C4)OC)C)C(C)C.[Cl-],156
CC1=NC=C(C2=C1NC3=CC=CC=C32)CCCCN(C)C,2774
CCCCCCCC1=CC2=C(C3=C(CCC(C3)C)C(=O)O2)C(=C1)O,246.7
CCC[N+]1=CC=CC2=C1C3=C(C=CC=N3)C=C2,903
CCCC(=O)NC(C1=CC=C(C=C1)Cl)C2=C(C3=C(C=CC=N3)C=C2)O,190.2
C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)OC4=CC=C(C=C4)OC5=CC6=C(C=C5)N=C(N6)C7=CC=C(C=C7)N)N,319
CCCCCC1=CC(=C(C=C1)OCCCC[N+]2=CC=CC(=C2)C)CCCCC.[Cl-],34.6
C1=CC=C2C(=C1)C(=CN2)CCC3=NN4C(=N3)C5=CC=CC=C5N=C4SCC#N,10000
CCOC(=O)CN(C1=C(C(=O)C2=CC=CC=C2C1=O)N3CC3)N=O,480
CC1=C(N=C2C=C(NN2C1=O)C3=CC=C(C=C3)I)C,118.5
COC1=CC=CC(=C1)CNC(=O)C2CNCC2C3=CC=C(C=C3)C(F)(F)F.C(=O)(C(F)(F)F)O,857
CC1=CC2=C(C=C1)N(C(CC2(C)C3=CC=CC=C3)(C)C)C(=O)C,1247
CCN(CC)CCCNC(=S)N(CCN(CC)CC)CC1=CC2=C(C=CC(=C2)OCC)NC1=O,2168
CC1=CN2C3=CC=CC=C3N(C2=N1)CCN4CCCC4,1074
CCCCC(=O)NC(C1=CC(=CC=C1)[N+](=O)[O-])C2=C(C3=C(C=CC=N3)C=C2)O,449
CC1=CC=CC(=C1)C2C3=C(CC(CC3=O)C4=CC(=C(C=C4)OC)OC)NC(=C2C(=O)OC5CCCC5)C,779
CCOC(=O)C1=CC=C(C=C1)OCC2C3=CC(=C(C=C3CCN2C(=O)C4=CC=C(C=C4)[N+](=O)[O-])OC)OC,10000
CC1=C(C(C2=C(N1)CC(CC2=O)C3=CC(=C(C=C3)OC)OC)C4=CC=CC=C4OC)C(=O)OC(C)C,10000
CC[N+]1=C(N(C2=C1C=C(C=C2)C3=NC4=CC=CC=C4S3)C5=CC=CC=C5)C=CN(C)C6=CC=CC=C6,14.03
CC1=NC(=C(O1)SCC2=CC=CC=C2)[P+](C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,33.5
