DNDI: Cytotoxicity against L929 mouse fibroblasts, 72 hour.
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)Cl,7.01
CCCC(CCC)NCC1=COC(=N1)C2=CC=C(C=C2)OCC,6.37
CC(C)CC(C1=NC(=C(O1)N2CCOCC2)C(C)C)NCC3=CC=C(C=C3)OC,10
CCCCCC(C)NCC1=COC(=N1)C2=C(C=C(C=C2)Cl)Cl,3.47
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)C3=CC=CC=C3)NCC4=CC=C(C=C4)C,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)F,7.1
CCOCCCNC(C1CC1)C2=NC(=C(O2)N3CCOCC3)C(C)C,10
CC(C)C1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3)NO,6.75
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2OC3=CC=CC=C3,6.3
CC(C)(C)C1=NC2=CC(=NN2C(=C1)N3CCN(CC3)C(=O)OC(C)(C)C)C4=CC=C(C=C4)F,10
CC1=CC=C(C=C1)CNC(C2CCCCC2)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3CCCCC3,1.48
CCCCCC(C)NCC1=COC(=C2C=C(C=CC2=O)Cl)N1,2.33
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)Cl,3.18
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)F,7.19
C1C(=NO)C2=CC=CC=C2O1,10
CC1=CC=C(C=C1)CNC(C2=CC(=CC=C2)Cl)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
CC1CC(CC(C1)(C)C)NCC2=COC(=N2)C3=CC=C(C=C3)C(C)(C)C,50
CC1=NC2=CC(=NN2C(=C1)NCCN3CCCCC3)C4=CC(=CC=C4)F,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2C#N,10
CC(C1CCCCC1)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,3.13
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC34CC5CC(C3)CC(C5)C4,28.39
CN(C)CCNC1=CC(=NC2=CC(=NN21)C3=CC=C(C=C3)F)C4=CC=CC=C4,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)NC3=CN=CC=C3,6.24
COC1=CC=CC(=C1)C(=NC2CCCCC2)NO,10
C1CCN(CC1)CC2=COC(=N2)C3=CC=C(C=C3)Cl,34.42
CC1(C2CCC(C1C2)CNCC3=COC(=N3)C4=CC=C(C=C4)C(C)(C)C)C,50
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)C)OC,5.27
COC1=CC=CC=C1C(=NC2CCCCC2)NO,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)COCC,10
CC1=NC(=C(C=C1)C(=NC2=CC(=CC=C2)F)NO)OC3=CC=C(C=C3)C(C)(C)C,5.39
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC(C)C,2.58
C1=CC=C(C=C1)C2=CC(=O)N3C(=N2)C=C(N3)C4=CC=C(C=C4)F,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCCN3CCOCC3,2.08
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC3=CC=C(C=C3)C,1.27
C1C2CC3CC1CC(C2)C3NCC4=COC(=N4)C5=C(C=CS5)Cl,10.57
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)OC3=CC=CC=C3,1.76
CCCCCC(C)NCC1=COC(=N1)C2=CC3=CC=CC=C3C=C2,5.65
C1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=CC=CC=C3F)NO,10
CCCCCC(C)NCC1=NC(=NO1)C2=CC=CC=C2,30.82
CC1=NC2=CC(=NN2C(=C1)NCCN3CCOCC3)C4=CC(=CC=C4)F,10
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=CC=C(C=C4)OC5CCCCC5,1.59
CC(C)CC(C1=NC(=C(O1)N2CCOCC2)C(C)C)NCCC3=CC=C(C=C3)S(=O)(=O)N,10
COC1=CC=C(C=C1)C2=CC3=NC(=CC(=O)N3N2)C4=CC=CC=C4,10
CC1=NC2=CC(=NN2C(=C1)NCCCN3C=CN=C3)C4=CC(=CC=C4)F,10
CCCCCC(C)NCC1=C(OC(=N1)C2=CC(=CC=C2)OC)C,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCCN(C)C,4.87
C1=CC=C(C=C1)COC(=O)NCC2C(=O)C(=C(C3=CC=CC=C3)O)C(=O)N2C(=O)OCC4=CC=CC=C4,9.13
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,3.51
CC(=O)C1=C(CN(C1=O)C)O,10
C1=CC=C(C=C1)C2=NC3=CC(=NN3C(=C2)NCCCN4C=CN=C4)C5=CC(=CC=C5)F,5.91
CCC1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3CCCCC3N)NO,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2OCC,7.79
CCCCCC(C)NCC1=COC(=N1)C2=C(C(=CC=C2)F)F,10.65
CC(C)(C)C1=CC=C(C=C1)OC2=C(C=CC=N2)C(=NC3=CC(=CC=C3)F)NO,3.39
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)Br,4.47
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)C3=CC=CC=C3)NCCCOCC,4.44
C1CCC(=NCC1)NO,10
CC1=CC=C(C=C1)CNC(C2=CC=CC=C2)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)OC,6.95
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=CC=N3,9.31
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC3=CC=C(C=C3)F,0.95
C1C2CC3CC1CC(C2)C3NCC4=COC(=N4)C5=CC=C(C=C5)Br,8.08
C1=CSC2=C1NC(=O)NC2=O,10
C1=CC=C2C(=C1)C=CC=C2OC3=NC(=NC4=C3SC=C4)Cl,2.52
CCCCCNCC1=COC(=N1)C2=CC=C(C=C2)CCCC,1.64
CCCCC1=CC=C(C=C1)C2=NC3=C(O2)C=CC=N3,10
CN(C)CCCNCC1=COC(=N1)C2=CC=C(C=C2)OCCC3=CC=CC=C3,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNCC3=CC=C(C=C3)C,2.63
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2Cl,7.17
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)C3=CC=CC=C3)NCC4=CC(=C(C=C4)OC)OC,10
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=CC=C(C=C4)C5=CC=CC=C5,3.13
CCCCCC(C)NCC1=COC(=N1)C2=C(C=CC=C2Cl)Cl,5.76
CN(C)CCNC1=NC2=C(C(=N1)OC3=CC=CC4=CC=CC=C43)SC=C2,3.48
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC(CC(C3)(C)C)C,0.64
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)Cl,7.27
CCC1=CC=C(C=C1)C(=NC2CCCCC2)NO,10
CCCOC1=CC=C(C=C1)C2=NC(=CO2)CNCC3CCC4CC3C4(C)C,3.13
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)C(C)(C)C,1.36
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2,10
CCCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)CCCCC,1.01
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)[N+](=O)[O-],7.08
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2F,3.59
CC(C)CC1C(=C(C(=O)N1)C(=O)C)O,10
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)C3=CC=CC=C3)NCC4=CC=CC=C4OC,10
CCCCCC(C)N(CC1=COC(=N1)C2=CC=C(C=C2)Cl)CC3=COC(=N3)C4=CC=C(C=C4)Cl,50
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)C,5.76
CC1=NC(=C(C=C1)C(=NC2CCCCC2)NO)OC3=C(C=CC=C3F)F,10
CC(C)C1=CC(=CC=C1)N=C(C2=CC=C(C=C2)OC)NO,5.81
CCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNCC3CCC4CC3C4(C)C,3.13
COC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=N2,10
C1CC(=O)N(C1)CCCNC2=CC(=NC3=CC(=NN32)C4=CC(=CC=C4)F)C5=CC=CC=C5,10
C1=CC=C(C=C1)C2=CC=CC=C2C=NOCC3=C(C(=C(C(=C3F)F)F)F)F,10
C1=CC=C(C=C1)C2=CC=CC=C2C=NOC3=CC=CC=C3,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNCC3CCC4CC3C4(C)C,3.26
CC1C2CC(C2(C)C)CC1NCC3=COC(=N3)C4=CC=C(C=C4)C(C)(C)C,50
C1CC(=O)N(C1)CCCNC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCC3,1.44
CCCCCCCCCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,7.22
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,1.23
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)CC,2.61
CCCCCCCC(=O)C1=C(C(NC1=O)CC(C)C)O,10
C1CCC(CC1)N=C(C2=CC=CC=C2CC3=CC=CC=C3)NO,4.57
CCCCCC(C)NCC1=COC(=N1)C2=C(C=CC=C2F)F,18.7
CC(C)(CNC1=CC(=NC2=CC(=NN21)C3=CC=C(C=C3)F)C4=CC=CC=C4)CN(C)C,10
CC1CC(CC(C1)(C)C)NCC2=COC(=N2)C3=CC=C(C=C3)Cl,3.13
CCC(C)C(C1=NC(=C(O1)N2CCOCC2)CC3=CC=CC=C3)NCC4=CC=C(C=C4)C,10
C1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=CC=CC=C3)NO,10
CC(C)(C)OC(=O)N1CCC(C1)NC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
C1CC1CN=C(C2=CC=CC=C2C3=CC=CC=C3)NO,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,3.13
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)OCCCC,1.7
CC1CC(CC(C1)(C)C)NCC2=COC(=N2)C3=CC=C(C=C3)OC(C)C,1.51
CCCCCC(C)NCC1=COC(=N1)CC2=CC=C(C=C2)OC,10
CC1=C(N=C(O1)C2=CC=CC=C2F)CNCCC3CCCN3C,10
CC1=NC2=CC(=NN2C(=C1)N3CCN(CC3)C(=O)OC(C)(C)C)C4=CC(=CC=C4)F,10
C1CCC(C1)N=C(C2=CC=CC=C2C3=CC=CC=C3)NO,10
CCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC4CC(C3C)C4(C)C,3.64
CCCCCC(C)NCC1=COC(=N1)C2=CC3=C(C=C2)OCO3,10
CC1=CC=C(C=C1)CNC(C2CC2)C3=NC(=C(O3)N4CCOCC4)C5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC=CC=C2C,3.6
CC1=CC=C(C=C1)CNC(C2=CC(=CC=C2)OC)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
C1=CC=C(C=C1)C2=NC3=CC(=NN3C(=C2)NCCCN4C=CN=C4)C5=CC=C(C=C5)F,7.66
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CC,6.2
CC1=C(N=C(O1)C2=CC(=CC=C2)OC)CNCCC3CCCN3C,10
CCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCCCCC3,3.13
COC1=CC=C(C=C1)C=NOCC2=C(C(=C(C(=C2F)F)F)F)F,10
C1=CC=C(C=C1)C2=NC3=CC(=NN3C(=C2)NCCCN)C4=CC=C(C=C4)F,0.76
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)C,5.7
CCN(CC)CCCNC1=CC(=NC2=CC(=NN21)C3=CC(=CC=C3)F)C,10
C1CCCC(CC1)NCC2=COC(=N2)C3=CC=C(C=C3)Br,15.69
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCCOCC,5.78
COC1=CC=C(C=C1)C(=NC2=CC=CC(=C2)C#N)NO,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC3CCN(CC3)CC4=CC=CC=C4,0.96
C1CCN(C1)CCNC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,4.94
CN(C)CCNC1=CC(=NC2=CC(=NN21)C3=CC(=CC=C3)F)C4=CC=CC=C4,1.78
CCCCCC(C)NCC1=C(OC(=N1)C2=CC=C(C=C2)C)C,10
CC(C)CC(C1=NC(=C(O1)N2CCCCC2)CC3=CC=CC=C3)NCC4=CC(=C(C=C4)OC)OC,10
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,10
CN(C)CCCNC1=CC(=NC2=CC(=NN21)C3=CC=C(C=C3)F)C4=CC=CC=C4,2.57
C1=CC=C(C=C1)C2=CC(=O)N3C(=N2)C=C(N3)C4=CC(=CC=C4)F,4.88
C1=CC(=CC=C1OC2=NC(=NC3=C2SC=C3)Cl)F,10
C1CCC(CC1)N=C(C2=CC=CC=C2OC3=CC=CC=C3)NO,10
CC(C)(C)C1=CC=C(C=C1)C2=NC(=CO2)CNC3C4CC5CC(C4)CC3C5,13.05
CCCCCC(C)NCC1=C(OC(=N1)C2=CC=CC=C2F)C,8.59
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)CCCC,1.48
CCC(C)C(C1=NC(=C(O1)N2CCCCC2)CC3=CC=CC=C3)NCC4=CC(=C(C=C4)OC)OC,10
CC1=CC=C(C=C1)CNC(C2=CC=CC=C2F)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
C1=CC=C(C=C1)COCC2C(=CC(=O)N2C(=O)OCC3=CC=CC=C3)OC(=O)C4=CC=CC=C4,10
CC1=NC(=C(C=C1)C(=NC2CCCCC2)NO)OC3=CC=C(C=C3)C(C)(C)C,4.06
C1CCN(C1)CCCNC2=CC(=NC3=CC(=NN32)C4=CC(=CC=C4)F)C5=CC=CC=C5,2.49
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OCC3=CC=C(C=C3)Cl,1.67
CN1CCCC1CCNCC2=COC(=N2)C3=CC=C(C=C3)OC4CCCC4,1.33
CC1CCC(CC1)N=C(C2=C(N=CC=C2)OC3=CC=CC=C3Cl)NO,10
CCCCC1=CC=C(C=C1)C2=NC(=CO2)CNC(C)CC,2.75
C1CCN(CC1)CCNC2=CC(=NC3=CC(=NN32)C4=CC=C(C=C4)F)C5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC(=CC=C2)OCC,6.82
CCCCC1=CC=C(C=C1)C2=NC(=CO2)C(F)(F)F,43.77
CCCCCC(C)NCC1=COC(=N1)C2=CC(=C(C=C2)OCCCC)F,0.73
CCCOC1=CC=C(C=C1)C2=NC(=CO2)CNC3CC(CC(C3)(C)C)C,3.13
CCCCC1=CC=C(C=C1)C2=NC(=C(O2)C3=CC=CC=C3)C4=CC=CC=C4,10
CC1=CC=C(C=C1)CNC(C2=CC=CC(=C2)C#N)C3=NC(=C(O3)N4CCOCC4)CC5=CC=CC=C5,10
CCCCCC(C)NCC1=COC(=N1)C2=CC3=CC=CC=C3S2,3.46
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC3=CC=C(C=C3)OC,5.61
CCCCCC(C)NCC1=COC(=N1)C2=CC=C(C=C2)OC(C(F)F)(F)F,4.3
CC(C)C(C(=O)N1CCOCC1)[N+]#C,10
C#[N+]C(C1=CC=CC=C1)C(=O)N2CCOCC2,10
CC1=CC2=NC(=CC(=O)N2N1)C3=CC=CC=C3,10
